| # | team | hello | lambdaman | spaceship | 3d | efficiency |
| --- | --- | --- | --- | --- | --- | --- |
| 1 | DiamondPrincess | 1 | 10 | 6 |  | 1 |
| 2 | Purely Functional Networks | 1 | 2 | 11 |  |  |
| 3 | Spica | 1 | 4 | 10 |  |  |
| 4 | manarimo | 1 | 23 | 2 |  |  |
| 5 | Leaf Pie | 16 | 16 | 12 |  |  |
| 6 | irori | 1 | 35 | 12 |  |  |
| 7 | udfew | 16 | 35 | 12 |  |  |
| 8 | Unagi | 1 | 47 | 12 |  |  |
| 9 | hikkash | 1 | 75 | 12 |  |  |
| 10 | locally constant | 20 | 6 | 1 |  |  |
| 11 | pegovka | 20 | 5 | 4 |  |  |
| 12 | shinh | 20 | 12 | 5 |  |  |
| 13 | Olympia | 20 | 15 | 3 |  |  |
| 14 | A Storm of Minds | 20 | 24 | 8 |  |  |
| 15 | Pigimarl | 20 | 26 | 9 |  |  |
| 16 | Jumbo Chicken | 20 | 8 | 12 |  |  |
| 17 | 46 TiB | 20 | 35 | 7 |  |  |
| 18 | RGBTeam | 20 | 17 | 12 |  |  |
| 19 | naminoneiro | 20 | 22 | 12 |  |  |
| 20 | sash | 20 | 27 | 12 |  |  |
| 20 | UA_paiv | 20 | 27 | 12 |  |  |
| 20 | Gon The Fox | 20 | 27 | 12 |  |  |
| 20 | Ateam | 20 | 27 | 12 |  |  |
| 24 | goto11 | 20 | 27 | 36 |  |  |
| 25 | unsatcore | 20 | 35 | 12 |  |  |
| 25 | QuincyRoyle | 20 | 35 | 12 |  |  |
| 25 | Cult of the Bound Variable | 20 | 35 | 12 |  |  |
| 28 | nesinboh | 131 | 21 | 37 |  |  |
| 29 | CamYarra | 20 | 47 | 12 |  |  |
| 29 | PLRG :: Bristol | 20 | 47 | 12 |  |  |
| 29 | hirosegolf | 20 | 47 | 12 |  |  |
| 29 | sonna*baka*na | 20 | 47 | 12 |  |  |
| 33 | sbite0138 | 20 | 70 | 12 |  |  |
| 33 | codingteam | 20 | 70 | 12 |  |  |
| 35 | powder | 1 | 20 |  |  |  |
| 35 | Nixie Tubes | 131 | 47 | 12 |  |  |
| 35 | piggyhack | 131 | 47 | 12 |  |  |
| 38 | (SII)(SII) | 1 | 25 |  |  |  |
| 39 | brbrbrbrfr | 1 | 33 |  |  |  |
| 40 | sh | 1 | 47 |  |  |  |
| 40 | TBD | 1 | 47 |  |  |  |
| 42 | Prof Prog | 19 | 47 |  |  |  |
| 43 | LogicLynx | 20 | 1 |  |  |  |
