| # | team | hello | lambdaman | spaceship | 3d | efficiency |
| --- | --- | --- | --- | --- | --- | --- |
| 1 | manarimo | 1 | 5 | 2 | 1 | 1 |
| 2 | Unagi | 1 | 3 | 3 | 3 | 1 |
| 3 | B$ L$ B$ v$ v$ L$ B$ v$ v$ | 1 | 7 | 5 | 2 | 1 |
| 4 | Heuristic Artis | 1 | 8 | 4 | 4 | 1 |
| 5 | RGBTeam | 1 | 2 | 9 | 8 | 1 |
| 6 | Purely Functional Networks | 1 | 1 | 1 | 19 | 1 |
| 7 | Spica | 1 | 10 | 12 | 5 | 1 |
| 8 | Snakes, Monkeys, and Two Smoking Lambdas | 1 | 11 | 7 | 13 | 1 |
| 9 | LogicLynx | 1 | 20 | 8 | 6 | 18 |
| 10 | DiamondPrincess | 1 | 6 | 10 | 22 | 1 |
| 11 | Pigimarl | 1 | 17 | 18 | 10 | 1 |
| 12 | ?? ???? | 1 | 35 | 11 | 11 | 1 |
| 13 | topcoder_is_dead | 1 | 28 | 6 | 9 | 30 |
| 14 | chirijako | 1 | 23 | 19 | 12 | 23 |
| 15 | powder | 1 | 4 | 31 | 30 | 1 |
| 16 | jabber.ru | 1 | 41 | 13 | 17 | 1 |
| 17 | udfew | 1 | 18 | 29 | 31 | 25 |
| 18 | The Cat is #1!! | 1 | 13 | 25 | 42 | 28 |
| 19 | pegovka | 1 | 27 | 47 | 20 | 21 |
| 20 | piggyhack | 1 | 32 | 38 | 15 | 31 |
| 21 | The Blind Hen | 1 | 15 | 15 | 51 | 38 |
| 22 | negainoido | 1 | 46 | 45 | 23 | 1 |
| 23 | Cult of the Bound Variable | 1 | 31 | 50 | 33 | 17 |
| 23 | sonna*baka*na | 1 | 36 | 22 | 28 | 38 |
| 25 | TSG | 1 | 24 | 60 | 26 | 25 |
| 26 | A Storm of Minds | 1 | 45 | 53 | 16 | 25 |
| 27 | Olympia | 1 | 26 | 57 | 13 | 38 |
| 28 | code-o-matic | 1 | 19 | 68 | 21 | 35 |
| 29 | Jumbo Chicken | 1 | 38 | 17 | 32 | 53 |
| 30 | hirosegolf | 1 | 50 | 37 | 34 | 35 |
| 31 | mipt.lambda | 1 | 61 | 46 | 40 | 19 |
| 32 | THIRTEEN | 1 | 67 | 41 | 39 | 24 |
| 33 | toomer | 1 | 54 | 24 | 44 | 47 |
| 34 | Panicked Albatross | 1 | 109 | 28 | 18 | 21 |
| 35 | Lamda Quakens | 1 | 56 | 48 | 45 | 47 |
| 36 | 46 TiB | 1 | 71 | 14 | 55 | 53 |
| 37 | wheezards | 1 | 40 | 70 | 54 | 38 |
| 38 | radeye | 1 | 68 | 54 | 25 | 53 |
| 39 | Gon The Fox | 1 | 60 | 89 | 38 | 35 |
| 40 | undercut | 1 | 76 | 63 | 46 | 47 |
| 41 | shinh | 1 | 87 | 102 | 7 | 38 |
| 42 | Ty chyo pyos? | 1 | 93 | 79 | 26 | 38 |
| 43 | Leaf Pie | 1 | 104 | 104 | 24 | 1 |
| 44 | irori | 1 | 117 | 83 | 42 | 53 |
| 45 | ??? | 1 | 9 | 33 |  | 16 |
| 46 | Raging Mushrooms | 1 | 12 | 27 |  | 19 |
| 47 | TBD | 1 | 33 | 21 |  | 38 |
| 48 | LILiK | 1 | 29 | 30 | 47 |  |
| 49 | hikkash | 1 | 50 | 23 | 35 |  |
| 50 | kamirulez! | 1 | 30 | 20 |  | 53 |
| 51 | kumanomi | 1 | 44 | 36 | 37 |  |
| 52 | Zebra Infused Hamsters | 1 | 21 | 72 | 56 |  |
| 53 | Perpetuum Mobile | 1 | 49 | 43 | 58 |  |
| 54 | Team Sampou | 1 | 37 | 52 |  | 53 |
| 55 | lambda-llama | 1 | 48 | 76 |  | 29 |
| 56 | codingteam | 1 | 42 | 82 |  | 34 |
| 57 | brbrbrbrfr | 1 | 43 | 63 | 57 |  |
| 58 | sjoerd_visscher | 1 | 47 | 74 |  | 38 |
| 59 | yorofuwa | 1 | 52 | 71 | 48 |  |
| 60 | Dare Ludum | 1 | 62 | 59 |  | 51 |
| 61 | **dysfunctional** | **piglets** | 144 | 72 | 66 | 35 |  |
| 62 | 0A | 1 | 73 | 73 |  | 31 |
| 63 | Forthissimo | 1 | 80 | 51 | 50 |  |
| 64 | Gobelet | 1 | 65 | 76 |  | 47 |
| 65 | Channable & Friends | 1 | 34 | 108 |  | 53 |
| 66 | Maximum | 1 | 66 | 88 | 53 |  |
| 67 | WILD BASHKORT MAGES | 1 | 133 | 26 | 51 |  |
| 68 | sanma | 1 | 129 | 85 | 41 |  |
| 69 | killswitch | 1 | 100 | 105 |  | 51 |
| 69 | Turing Machinists | 1 | 111 | 97 | 49 |  |
| 71 | tipstar0125 | 1 | 59 | 124 |  | 53 |
| 72 | Ateam | 149 | 90 | 69 | 29 |  |
| 73 | idkjava | 1 | 146 | 114 |  | 31 |
| 74 | UA_paiv | 1 | 121 | 124 |  | 53 |
| 75 | GrinGene | 149 | 124 | 92 |  | 46 |
| 76 | KMC | 149 | 118 | 110 |  | 53 |
| 77 | locally constant | 1 | 55 | 35 |  |  |
| 78 | Bottle kids! | 1 | 14 | 84 |  |  |
| 79 | xfold | 1 | 92 | 16 |  |  |
| 80 | ilikerice | 1 | 53 | 56 |  |  |
| 81 | Lama | 1 | 22 | 93 |  |  |
| 82 | Kirby's Star Allies | 1 | 88 | 39 |  |  |
| 83 | pointless | 1 | 39 | 89 |  |  |
| 84 | mj | 1 | 98 | 32 |  |  |
| 85 | Sayang <3 | 1 | 103 | 42 |  |  |
| 86 | cipher | 1 | 97 | 55 |  |  |
| 87 | tsickle | 1 | 64 | 91 |  |  |
| **88** | **uguu.org** | **1** | **58** | **109** | **** | **** |
| 89 | Side Effects May Include... | 1 | 83 | 100 |  |  |
| 90 | tomerun | 1 | 25 | 124 |  |  |
| 91 | ??? | 1 | 75 | 116 |  |  |
| 92 | O Caml My Caml | 1 | 107 | 99 |  |  |
| 93 | tmd | 1 | 113 | 94 |  |  |
| 94 | OpenMasters | 149 | 79 | 40 |  |  |
| 95 | cashto | 1 | 110 | 107 |  |  |
| 95 | Lyrical Tokarev | 1 | 99 | 116 |  |  |
| 97 | Team Meh | 149 | 74 | 58 |  |  |
| 98 | TCPC | 1 | 70 | 124 |  |  |
| 99 | Dimetrodon | 1 | 168 | 65 |  |  |
| 100 | Sunspear | 149 | 108 | 34 |  |  |
| 101 | masataka | 1 | 139 | 98 |  |  |
| 102 | Cup<T> | 1 | 134 | 106 |  |  |
| 103 | taxidriver | 1 | 82 | 124 |  |  |
| 103 | shim0 | 1 | 123 | 119 |  |  |
| 105 | sh | 1 | 84 | 124 |  |  |
| 106 | Croco (discord&twitter must die) | 1 | 130 | 120 |  |  |
| 107 | Rogue Operations | 149 | 96 | 61 |  |  |
| 108 | yowa | 1 | 157 | 86 |  |  |
| 109 | yupiteru | 1 | 145 | 112 |  |  |
| 110 | lambdametal | 1 | 136 | 123 |  |  |
| 110 | R22b | 149 | 78 | 87 |  |  |
| 112 | sushi-gakushi | 1 | 101 | 124 |  |  |
| 113 | Slow | 149 | 112 | 62 |  |  |
| 114 | OMGICFPFTW | 149 | 86 | 95 |  |  |
| 115 | Rick Zapor | 149 | 143 | 44 |  |  |
| 116 | 910z | 1 | 122 | 124 |  |  |
| 117 | Dis Functional | 1 | 184 | 103 |  |  |
| 118 | goto11 | 149 | 95 | 100 |  |  |
| 119 | Nixie Tubes | 1 | 135 | 124 |  |  |
| 120 | Junkfood | 1 | 137 | 124 |  |  |
| 121 | Undecidable | 1 | 138 | 162 |  |  |
| 122 | igusarov | 149 | 57 | 124 |  |  |
| 123 | cw | 149 | 68 | 124 |  |  |
