| # | team | lambdaman1 | lambdaman2 | lambdaman3 | lambdaman4 | lambdaman5 | lambdaman6 | lambdaman7 | lambdaman8 | lambdaman9 | lambdaman10 | lambdaman11 | lambdaman12 | lambdaman13 | lambdaman14 | lambdaman15 | lambdaman16 | lambdaman17 | lambdaman18 | lambdaman19 | lambdaman20 | lambdaman21 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1 | Purely Functional Networks | 1 | 1 | 1 | 2 | 2 | 1 | 1 | 11 | 1 | 14 | 2 | 2 | 2 | 2 | 2 | 1 | 12 | 15 | 1 | 13 | 16 |
| 2 | RGBTeam | 1 | 1 | 1 | 4 | 2 | 1 | 4 | 8 | 3 | 11 | 4 | 4 | 4 | 4 | 4 | 2 | 14 | 13 | 13 | 12 | 14 |
| 3 | Unagi | 1 | 1 | 1 | 8 | 2 | 1 | 8 | 26 | 23 | 7 | 6 | 5 | 6 | 6 | 5 | 9 | 4 | 2 | 8 | 2 | 6 |
| 4 | powder | 1 | 1 | 1 | 7 | 26 | 1 | 11 | 4 | 3 | 4 | 9 | 8 | 9 | 10 | 8 | 8 | 10 | 9 | 9 | 8 | 11 |
| 5 | manarimo | 1 | 1 | 1 | 10 | 24 | 16 | 16 | 20 | 1 | 6 | 8 | 7 | 8 | 8 | 7 | 6 | 18 | 16 | 7 | 16 | 5 |
| 6 | DiamondPrincess | 1 | 1 | 1 | 9 | 2 | 1 | 9 | 27 | 34 | 9 | 7 | 6 | 7 | 7 | 6 | 10 | 6 | 5 | 13 | 4 | 8 |
| 7 | ??? | 1 | 1 | 1 | 12 | 2 | 31 | 7 | 17 | 22 | 7 | 12 | 11 | 12 | 12 | 11 | 13 | 3 | 3 | 10 | 3 | 10 |
| 8 | B$ L$ B$ v$ v$ L$ B$ v$ v$ | 1 | 1 | 1 | 5 | 49 | 14 | 5 | 13 | 15 | 3 | 13 | 14 | 15 | 15 | 13 | 14 | 9 | 8 | 4 | 7 | 1 |
| 9 | Heuristic Artis | 1 | 1 | 1 | 18 | 2 | 1 | 13 | 8 | 10 | 23 | 10 | 9 | 10 | 9 | 9 | 11 | 5 | 4 | 5 | 5 | 43 |
| 10 | Spica | 1 | 1 | 1 | 15 | 2 | 21 | 10 | 10 | 11 | 16 | 16 | 16 | 17 | 16 | 16 | 4 | 11 | 11 | 3 | 11 | 13 |
| 11 | Snakes, Monkeys, and Two Smoking Lambdas | 1 | 1 | 1 | 13 | 26 | 1 | 19 | 4 | 3 | 20 | 14 | 12 | 14 | 13 | 12 | 5 | 17 | 17 | 11 | 17 | 18 |
| 12 | Raging Mushrooms | 1 | 1 | 1 | 22 | 86 | 48 | 16 | 22 | 27 | 12 | 11 | 10 | 11 | 11 | 10 | 20 | 7 | 6 | 18 | 15 | 3 |
| 13 | The Cat is #1!! | 1 | 1 | 1 | 17 | 63 | 37 | 12 | 33 | 35 | 13 | 15 | 15 | 16 | 17 | 15 | 17 | 8 | 7 | 15 | 6 | 9 |
| 14 | Bottle kids! | 1 | 1 | 1 | 14 | 57 | 58 | 14 | 31 | 32 | 15 | 19 | 19 | 20 | 21 | 19 | 14 | 15 | 12 | 11 | 10 | 24 |
| 15 | The Blind Hen | 1 | 1 | 1 | 24 | 67 | 37 | 21 | 34 | 37 | 18 | 18 | 18 | 19 | 19 | 18 | 19 | 13 | 10 | 17 | 9 | 7 |
| 16 | Frictionless Bananas | 1 | 1 | 1 | 1 | 1 | 17 | 2 | 1 | 13 | 1 | 3 | 3 | 3 | 3 | 3 | 3 | 1 |  | 2 | 1 |  |
| 17 | Pigimarl | 1 | 1 | 1 | 51 | 38 | 18 | 114 | 19 | 26 | 5 | 1 | 1 | 1 | 1 | 1 | 7 | 2 | 1 | 81 | 84 | 42 |
| 18 | udfew | 1 | 1 | 1 | 16 | 66 | 36 | 18 | 31 | 32 | 10 | 76 | 13 | 13 | 14 | 13 | 14 | 76 | 18 | 24 | 64 | 21 |
| 19 | code-o-matic | 1 | 1 | 1 | 25 | 107 | 91 | 22 | 40 | 41 | 21 | 20 | 20 | 21 | 20 | 20 | 24 | 19 | 19 | 19 | 18 | 39 |
| 20 | LogicLynx | 1 | 1 | 1 | 26 | 2 | 1 | 25 | 14 | 20 | 28 | 35 | 35 | 36 | 24 | 35 | 26 | 22 | 24 | 27 | 26 | 28 |
| 21 | Zebra Infused Hamsters | 1 | 1 | 1 | 26 | 2 | 59 | 39 | 24 | 30 | 55 | 22 | 22 | 23 | 23 | 22 | 25 | 25 | 41 | 21 | 71 | 4 |
| 22 | Lama | 1 | 1 | 1 | 19 | 61 | 1 | 14 | 6 | 11 |  | 21 | 21 | 22 | 22 | 21 | 21 | 16 | 14 | 20 | 14 |  |
| 23 | chirijako | 1 | 1 | 1 | 49 | 37 | 32 | 68 | 25 | 29 | 19 | 37 | 37 | 38 | 86 | 86 | 91 | 24 | 27 | 71 | 22 | 2 |
| 24 | TSG | 1 | 1 | 1 | 6 | 107 | 18 | 105 | 29 | 78 | 60 | 5 | 65 | 5 | 5 | 23 | 12 | 81 | 76 | 23 | 74 | 19 |
| 25 | tomerun | 1 | 1 | 1 | 51 | 2 | 1 | 26 | 42 | 3 | 31 | 52 | 40 | 62 | 61 | 41 | 26 | 35 | 29 | 27 | 27 | 24 |
| 26 | Olympia | 1 | 1 | 1 | 26 | 2 | 59 | 30 | 42 | 42 | 22 | 36 | 36 | 37 | 36 | 36 | 26 | 27 | 65 | 27 | 62 | 35 |
| 27 | pegovka | 1 | 1 | 124 | 69 | 79 | 51 | 54 | 28 | 38 | 35 | 61 | 40 | 62 | 40 | 61 | 26 | 30 | 28 | 22 | 28 | 17 |
| 28 | LILiK | 1 | 1 | 1 | 26 | 2 | 29 | 32 | 36 | 69 | 44 | 39 | 38 | 39 | 38 | 37 | 26 | 36 | 45 | 27 | 37 |  |
| 29 | topcoder_is_dead | 1 | 1 | 1 | 26 | 2 | 59 | 23 | 42 | 42 | 26 | 23 | 23 | 24 | 24 | 23 | 26 | 21 | 20 | 27 | 19 |  |
| 30 | kamirulez! | 1 | 1 | 1 | 26 | 41 | 59 | 31 | 42 | 42 | 53 | 23 | 23 | 24 | 24 | 23 | 26 | 69 | 66 | 27 | 63 | 37 |
| 31 | Cult of the Bound Variable | 1 | 1 | 1 | 11 | 70 | 14 | 6 | 18 | 25 | 25 | 61 | 40 | 80 | 61 | 41 | 26 | 39 | 30 | 27 | 33 |  |
| 32 | piggyhack | 1 | 1 | 1 | 26 | 2 | 1 | 28 | 42 | 9 | 24 | 61 | 40 | 62 | 40 | 61 | 26 | 23 | 25 | 27 | 23 |  |
| 33 | TBD | 1 | 1 | 1 | 69 | 88 | 21 | 90 | 7 | 16 | 38 | 61 | 40 | 62 | 40 | 61 | 26 | 57 | 59 | 27 | 57 | 30 |
| 34 | Channable & Friends | 1 | 1 | 1 | 26 | 26 | 27 | 42 | 42 | 42 | 37 | 76 | 65 | 45 | 61 | 75 | 26 | 44 | 50 | 27 | 44 | 12 |
| 35 | ?? ???? | 1 | 1 | 1 | 69 | 48 | 59 | 32 | 42 | 42 | 34 | 61 | 40 | 62 | 40 | 61 | 26 | 28 | 26 | 27 | 28 | 23 |
| 36 | sonna*baka*na | 1 | 1 | 1 | 51 | 2 | 48 | 67 | 113 | 24 | 59 | 54 | 40 | 40 | 61 | 41 | 99 | 72 | 72 | 27 | 69 | 36 |
| 37 | Team Sampou | 1 | 1 | 1 | 106 | 26 | 56 | 58 | 42 | 42 | 32 | 76 | 65 | 45 | 40 | 49 | 26 | 52 | 37 | 27 | 32 | 22 |
| 38 | Jumbo Chicken | 1 | 155 | 121 | 69 | 53 | 21 | 76 | 42 | 63 | 42 | 61 | 40 | 54 | 40 | 61 | 26 | 47 | 53 | 27 | 46 | 27 |
| 39 | pointless | 1 | 1 | 145 | 26 | 100 | 59 | 103 | 42 | 42 | 52 | 23 | 23 | 24 | 24 | 23 | 26 | 77 | 74 | 27 | 73 | 38 |
| 40 | wheezards | 1 | 1 | 1 | 80 | 89 | 33 | 85 | 113 | 63 | 43 | 74 | 62 | 73 | 60 | 74 | 91 | 33 | 44 | 71 | 38 | 29 |
| 41 | jabber.ru | 1 | 162 | 129 | 91 | 67 | 59 | 53 | 42 | 42 | 36 | 41 | 65 | 74 | 40 | 49 | 26 | 33 | 40 | 27 | 36 | 24 |
| 42 | codingteam | 1 | 1 | 1 | 21 | 96 | 51 | 20 | 35 | 36 | 17 | 17 | 17 | 18 | 18 | 17 | 18 |  |  | 16 |  |  |
| 43 | brbrbrbrfr | 1 | 1 | 116 | 90 | 106 | 37 | 102 | 15 | 21 | 45 | 85 | 64 | 84 | 85 | 60 | 105 | 73 | 69 | 77 | 72 | 34 |
| 44 | kumanomi | 1 | 1 | 1 | 26 | 53 | 59 | 98 | 42 | 76 | 58 | 23 | 23 | 24 | 24 | 23 | 26 | 65 | 67 | 27 | 67 |  |
| 45 | A Storm of Minds | 1 | 1 | 1 | 51 | 128 | 57 | 51 | 38 | 40 | 33 | 107 | 99 | 99 | 98 | 99 | 26 | 61 | 46 | 89 | 53 | 20 |
| 46 | negainoido | 1 | 1 | 1 | 115 | 110 | 92 | 109 | 41 | 31 | 50 | 86 | 84 | 85 | 79 | 81 | 22 | 83 | 80 | 6 | 79 | 15 |
| 47 | sjoerd_visscher | 1 | 1 | 124 | 82 | 84 | 59 | 87 | 42 | 71 | 48 | 54 | 65 | 56 | 40 | 61 | 26 | 59 | 62 | 27 | 55 | 33 |
| 48 | lambda-llama | 1 | 1 | 110 | 66 | 93 | 59 | 44 | 42 | 42 | 40 | 41 | 40 | 56 | 40 | 61 | 26 | 53 | 42 | 27 | 48 |  |
