| # | team | spaceship1 | spaceship2 | spaceship3 | spaceship4 | spaceship5 | spaceship6 | spaceship7 | spaceship8 | spaceship9 | spaceship10 | spaceship11 | spaceship12 | spaceship13 | spaceship14 | spaceship15 | spaceship16 | spaceship17 | spaceship18 | spaceship19 | spaceship20 | spaceship21 | spaceship22 | spaceship23 | spaceship24 | spaceship25 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1 | Purely Functional Networks | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 6 | 1 | 2 | 3 | 2 | 1 | 1 | 1 | 2 | 1 | 1 |
| 2 | manarimo | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 5 | 4 | 1 | 1 | 2 | 1 | 1 | 2 | 3 | 5 | 5 | 2 | 2 | 2 | 1 | 5 | 5 |
| 3 | Unagi | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 6 | 1 | 1 | 4 | 7 | 8 | 3 | 5 | 7 | 1 | 4 | 3 | 6 | 5 | 9 | 6 |
| 4 | Heuristic Artis | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 2 | 1 | 1 | 5 | 4 | 2 | 27 | 3 | 4 | 5 | 13 | 7 | 8 |
| 5 | B$ L$ B$ v$ v$ L$ B$ v$ v$ | 1 | 1 | 1 | 24 | 33 | 1 | 1 | 1 | 6 | 1 | 1 | 1 | 5 | 7 | 6 | 4 | 1 | 1 | 13 | 5 | 5 | 3 | 3 | 4 | 2 |
| 6 | topcoder_is_dead | 1 | 1 | 1 | 1 | 1 | 10 | 22 | 16 | 9 | 10 | 1 | 1 | 6 | 6 | 11 | 7 | 6 | 4 | 4 | 8 | 8 | 4 | 4 | 2 | 4 |
| 7 | Snakes, Monkeys, and Two Smoking Lambdas | 1 | 1 | 1 | 1 | 1 | 1 | 28 | 19 | 16 | 20 | 1 | 1 | 16 | 7 | 4 | 6 | 8 | 6 | 3 | 7 | 7 | 7 | 9 | 3 | 3 |
| 8 | LogicLynx | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 9 | 8 | 8 | 1 | 1 | 7 | 5 | 8 | 9 | 10 | 13 | 19 | 15 | 12 | 9 | 18 | 11 | 13 |
| 9 | RGBTeam | 1 | 1 | 1 | 21 | 1 | 9 | 7 | 11 | 7 | 7 | 1 | 1 | 10 | 7 | 1 | 8 | 13 | 9 | 6 | 10 | 15 | 8 | 10 | 27 | 15 |
| 10 | DiamondPrincess | 1 | 1 | 1 | 27 | 12 | 14 | 24 | 12 | 15 | 16 | 1 | 1 | 23 | 21 | 15 | 19 | 22 | 18 | 28 | 16 | 22 | 17 | 28 | 15 | 24 |
| 11 | ?? ???? | 1 | 1 | 1 | 41 | 28 | 23 | 22 | 29 | 22 | 27 | 58 | 39 | 24 | 30 | 21 | 16 | 17 | 12 | 24 | 9 | 9 | 14 | 16 | 11 | 11 |
| 12 | Spica | 1 | 1 | 1 | 1 | 1 | 12 | 12 | 17 | 11 | 9 | 1 | 1 | 8 | 21 | 18 | 12 | 12 | 21 | 18 | 6 | 6 | 10 | 21 | 21 |  |
| 13 | jabber.ru | 1 | 82 | 82 | 44 | 41 | 27 | 25 | 33 | 23 | 24 | 57 | 32 | 20 | 29 | 17 | 10 | 9 | 10 | 22 | 11 | 10 | 11 | 15 | 22 | 7 |
