| # | team | hello | lambdaman | spaceship | 3d | efficiency |
| --- | --- | --- | --- | --- | --- | --- |
| ? | B$ L$ B$ v$ v$ L$ B$ v$ v$ | ? | ? | ? | ? | ? |
| ? | Heuristic Artis | ? | ? | ? | ? | ? |
| ? | LogicLynx | ? | ? | ? | ? | ? |
| ? | Pigimarl | ? | ? | ? | ? | ? |
| ? | Purely Functional Networks | ? | ? | ? | ? | ? |
| ? | Spica | ? | ? | ? | ? | ? |
| ? | TSG | ? | ? | ? | ? | ? |
| ? | Unagi | ? | ? | ? | ? | ? |
| ? | manarimo | ? | ? | ? | ? | ? |
| ? | topcoder_is_dead | ? | ? | ? | ? | ? |
| 11 | Snakes, Monkeys, and Two Smoking Lambdas | 1 | 13 | 10 | 18 | 1 |
| 12 | TBD | 1 | 21 | 11 | 14 | 1 |
| 13 | RGBTeam | 1 | 20 | 2 | 27 | 1 |
| 14 | DiamondPrincess | 1 | 7 | 22 | 23 | 1 |
| 15 | ?? ???? | 1 | 14 | 30 | 9 | 1 |
| 16 | Gon The Fox | 1 | 25 | 9 | 19 | 1 |
| 17 | udfew | 1 | 30 | 25 | 7 | 1 |
| 18 | The Cat is #1!! | 1 | 12 | 26 | 25 | 1 |
| 19 | powder | 1 | 22 | 11 | 39 | 1 |
| 20 | chirijako | 1 | 41 | 19 | 15 | 1 |
| 21 | The Blind Hen | 1 | 17 | 37 | 21 | 1 |
| 22 | ??? | 1 | 27 | 24 | 26 | 1 |
| 23 | WILD BASHKORT MAGES | 1 | 24 | 20 | 37 | 1 |
| 24 | Raging Mushrooms | 1 | 23 | 23 | 36 | 1 |
| 25 | tomerun | 1 | 19 | 16 | 48 | 1 |
| 26 | negainoido | 1 | 60 | 14 | 17 | 1 |
| 26 | piggyhack | 1 | 29 | 29 | 33 | 1 |
| 28 | code-o-matic | 1 | 31 | 35 | 34 | 1 |
| 29 | Jumbo Chicken | 1 | 26 | 32 | 44 | 1 |
| 30 | Panicked Albatross | 1 | 15 | 47 | 32 | 67 |
| 31 | Frictionless Bananas | 1 | 10 | 51 | 46 | 1 |
| 31 | yorofuwa | 1 | 28 | 34 | 45 | 1 |
| 33 | kamirulez! | 1 | 39 | 44 | 30 | 1 |
| 34 | pegovka | 1 | 35 | 38 | 43 | 1 |
| 35 | hirosegolf | 1 | 56 | 27 | 38 | 1 |
| 36 | Cult of the Bound Variable | 1 | 32 | 59 | 31 | 1 |
| 37 | Olympia | 1 | 58 | 31 | 24 | 70 |
| 38 | codingteam | 1 | 44 | 43 | 41 | 1 |
| 39 | jabber.ru | 1 | 83 | 36 | 13 | 1 |
| 40 | THIRTEEN | 1 | 37 | 41 | 59 | 1 |
| 41 | Perpetuum Mobile | 1 | 34 | 48 | 54 | 1 |
| 42 | 46 TiB | 1 | 55 | 33 | 53 | 1 |
| 43 | tsickle | 1 | 45 | 58 | 40 | 1 |
| 44 | LILiK | 1 | 49 | 39 | 60 | 1 |
| 45 | sonna*baka*na | 1 | 52 | 48 | 35 | 72 |
| 45 | sanma | 1 | 53 | 52 | 42 | 62 |
| 47 | Leaf Pie | 1 | 18 | 86 | 51 | 1 |
| 48 | Zebra Infused Hamsters | 1 | 46 | 40 | 70 | 1 |
| 48 | toomer | 1 | 40 | 55 | 61 | 1 |
| 50 | A Storm of Minds | 1 | 68 | 69 | 21 | 1 |
| 51 | hikkash | 1 | 58 | 46 | 54 | 1 |
| 52 | kumanomi | 1 | 54 | 28 | 49 | 90 |
| 53 | mipt.lambda | 1 | 32 | 82 | 56 | 1 |
| 54 | radeye | 1 | 74 | 18 | 75 | 66 |
| 55 | Bottle kids! | 1 | 42 | 67 | 68 | 1 |
| 56 | irori | 1 | 36 | 92 | 58 | 1 |
| 57 | tratata | 1 | 50 | 48 | 93 | 1 |
| 58 | Turing Machinists | 1 | 64 | 84 | 29 | 73 |
| 59 | Ty chyo pyos? | 1 | 77 | 45 | 74 | 1 |
| 60 | Forthissimo | 1 | 47 | 57 | 62 | 90 |
| 61 | ilikerice | 1 | 43 | 54 | 87 | 76 |
| 62 | Kirby's Star Allies | 1 | 51 | 71 | 69 | 80 |
| 62 | Team Sampou | 1 | 63 | 78 | 73 | 1 |
| 64 | Sunspear | 1 | 48 | 56 | 63 | 102 |
| 65 | xfold | 1 | 107 | 16 | 81 | 67 |
| 66 | Maximum | 1 | 76 | 53 | 57 | 82 |
| 67 | optima | 1 | 73 | 63 | 47 | 102 |
| 68 | Lama | 1 | 38 | 113 | 84 | 1 |
| 69 | Dare Ludum | 1 | 57 | 94 | 66 | 82 |
| 70 | undercut | 1 | 96 | 66 | 28 | 110 |
| 71 | Human Instrumentality Project | 1 | 66 | 114 | 64 | 67 |
| 72 | cashto | 1 | 71 | 112 | 72 | 61 |
| 73 | PLRG :: Bristol | 1 | 62 | 108 | 89 | 65 |
| 74 | **dysfunctional** | **piglets** | 188 | 67 | 101 | 76 | 73 |
| 75 | taxidriver | 1 | 88 | 60 | 97 | 93 |
| 76 | wheezards | 1 | 80 | 105 | 105 | 59 |
| 77 | Lamda Quakens | 1 | 87 | 85 | 90 | 82 |
| 77 | mj | 1 | 123 | 61 | 88 | 76 |
| 79 | killswitch | 1 | 115 | 115 | 52 | 70 |
| 80 | Gobelet | 1 | 83 | 80 | 107 | 82 |
| 81 | Limiting Factor | 1 | 98 | 116 | 91 | 1 |
| 82 | lambda-llama | 1 | 89 | 111 | 106 | 63 |
| 83 | shinh | 1 | 132 | 131 | 8 | 93 |
| 84 | Nixie Tubes | 1 | 61 | 62 | 109 | 121 |
| 85 | Dimetrodon | 1 | 101 | 68 | 71 | 121 |
| 86 | cipher | 1 | 125 | 90 | 92 | 80 |
| 87 | s1mahoeg | 1 | 121 | 104 | 50 | 110 |
| 88 | hayato | 1 | 131 | 72 | 96 | 93 |
| 89 | TCPC | 1 | 105 | 89 | 67 | 121 |
| 90 | *uni* | 1 | 81 | 102 | 108 | 110 |
| 91 | idkjava | 1 | 137 | 151 | 65 | 1 |
| **92** | **uguu.org** | **1** | **95** | **140** | **79** | **102** |
| 93 | OMGICFPFTW | 1 | 118 | 79 | 83 | 121 |
| 94 | OpenMasters | 1 | 106 | 75 | 104 | 121 |
| 95 | Ateam | 192 | 102 | 103 | 77 | 82 |
| 96 | Croco (discord&twitter must die) | 1 | 85 | 155 | 95 | 110 |
| 97 | Team Solo Mec | 1 | 145 | 117 | 85 | 121 |
| 98 | xyz600 | 1 | 92 | 160 | 99 | 110 |
| 99 | Cup<T> | 1 | 182 | 133 | 113 | 73 |
| 100 | Crownfall Crew | 1 | 156 | 160 | 100 | 60 |
| 101 | Invisible Imp | 1 | 184 | 137 | 86 | 93 |
| 102 | tmd | 1 | 149 | 125 | 110 | 121 |
| 103 | JumpingJaguar | 1 | 218 | 147 | 103 | 1 |
| 104 | sushi-gakushi | 1 | 136 | 160 | 94 | 121 |
| 105 | p-coder | 192 | 135 | 126 | 82 | 121 |
| 106 | locally constant | 1 | 78 | 70 |  | 90 |
| 107 | Team Meh | 1 | 100 | 42 | 102 |  |
| 108 | NetworkNinjas | 1 | 97 | 97 | 78 |  |
| 109 | KMC | 192 | 162 | 141 | 111 | 121 |
| 110 | glua.team | 1 | 124 | 73 |  | 82 |
| 111 | sjoerd_visscher | 1 | 90 | 107 |  | 93 |
| 112 | brbrbrbrfr | 1 | 86 | 100 | 114 |  |
| 113 | 0A | 1 | 117 | 106 |  | 76 |
| 114 | unsatcore | 1 | 75 | 160 |  | 1 |
| 115 | igusarov | 1 | 69 | 155 |  | 102 |
| 115 | tipstar0125 | 1 | 93 | 96 |  | 121 |
| 117 | pointless | 1 | 79 | 120 |  | 121 |
| 118 | 910z | 1 | 166 | 77 | 101 |  |
| 119 | Channable & Friends | 1 | 72 | 137 |  | 121 |
| 120 | O Caml My Caml | 1 | 148 | 130 | 80 |  |
| 121 | goto11 | 1 | 142 | 123 | 111 |  |
| 122 | Better, late, then never | 1 | 168 | 91 |  | 110 |
| 123 | GrinGene | 1 | 158 | 118 |  | 107 |
| 124 | Drmk | 192 | 70 | 98 |  | 121 |
| 125 | Lyrical Tokarev | 1 | 120 | 152 |  | 110 |
| 126 | sh | 1 | 109 | 160 |  | 101 |
| 127 | Junkfood | 1 | 183 | 109 |  | 108 |
| 128 | samayou_kaede | 1 | 134 | 134 |  | 121 |
| 129 | Massive force to give up | 188 | 157 | 144 |  | 102 |
| 130 | lambdametal | 1 | 180 | 146 |  | 82 |
| 131 | DNIWE :: a | 1 | 248 | 110 |  | 63 |
| 132 | C64 | 186 | 163 | 122 |  | 121 |
| 133 | Sabae no Applicative Functor | 1 | 232 | 157 |  | 82 |
| 134 | UA_paiv | 1 | 165 | 160 |  | 121 |
| 135 | poyo | 1 | 188 | 160 |  | 120 |
| 136 | ToastUz | 1 | 99 | 65 |  |  |
| 137 | zfhrp | 1 | 197 | 160 |  | 121 |
| 138 | Task Manager (Not Responding) | 188 | 91 |  |  | 76 |
| 139 | Levinski | 1 | 94 | 87 |  |  |
| 140 | Side Effects May Include... | 1 | 112 | 88 |  |  |
| 141 | wendigogo | 1 | 110 | 95 |  |  |
| 142 | Pure Laziness | 192 | 65 | 64 |  |  |
| 143 | Sayang <3 | 1 | 139 | 76 |  |  |
| 144 | skermes | 265 | 198 | 160 |  | 93 |
| 145 | Sihl++ | 1 | 115 |  |  | 110 |
| 146 | miniBill | 1 |  | 124 |  | 110 |
| 147 | Slow | 1 | 150 | 99 |  |  |
| 148 | pandaT | 1 | 127 | 137 |  |  |
| 149 | DePauw with a W | 192 | 198 | 160 |  | 121 |
| 149 | XLERB | 192 | 198 | 160 |  | 121 |
| 149 | botrevenge | 1 | 128 |  |  | 121 |
| 149 | Helicoidal Bytecode | 1 | 170 |  |  | 93 |
| 153 | ??? | 1 | 119 | 152 |  |  |
| 154 | Rick Zapor | 192 | 114 | 81 |  |  |
| 155 | Rogue Operations | 192 | 140 | 74 |  |  |
| 156 | the-bam | 1 | 161 | 135 |  |  |
| 157 | cw | 1 | 110 | 160 |  |  |
| 158 | shim0 | 1 | 159 | 143 |  |  |
| 159 | R22b | 192 | 104 | 121 |  |  |
| 160 | Dis Functional | 1 | 179 | 132 |  |  |
| 161 | masataka | 1 | 186 | 129 |  |  |
| 162 | Pi | 192 | 103 | 136 |  |  |
| 163 | Sigmoid Freud | 192 | 82 | 157 |  |  |
| 164 | Intrepid Investigator | 1 | 198 |  |  | 110 |
| 164 | yowa | 1 | 198 | 119 |  |  |
| 166 | Lamb-duh | 192 | 164 | 93 |  |  |
| 167 | Pech1 | 1 | 151 | 160 |  |  |
| 168 | nesinboh | 188 | 177 | 159 |  |  |
| 168 | takus | 1 | 152 | 160 |  |  |
| 170 | yupiteru | 1 | 194 | 147 |  |  |
| 171 | unsafePerform.IO | 265 | 174 |  |  | 93 |
| 172 | RSQRTSS | 1 | 198 |  |  | 121 |
| 173 | Serpens Viridis | 1 | 173 | 160 |  |  |
| 174 | ush | 1 |  |  | 11 |  |
| 175 | Undecidable | 1 | 185 | 192 |  |  |
| 176 | meanmate | 290 | 126 |  | 98 |  |
| 177 | GeriatricCoder | 192 | 178 | 142 |  |  |
| 178 | Lambgaga | 1 | 198 | 160 |  |  |
| 178 | Tusan | 1 | 198 | 160 |  |  |
| 178 | sash | 1 | 198 | 160 |  |  |
| 181 | UnlikelyToSucceed | 192 | 176 | 152 |  |  |
| 182 | help | 1 | 232 | 160 |  |  |
| 183 | hk | 273 | 181 | 147 |  |  |
| 184 | camel_case | 1 | 232 | 193 |  |  |
| 185 | FunctionalPerls | 192 | 198 | 147 |  |  |
| 186 | FIRQ | 192 | 232 | 127 |  |  |
| 187 | naminoneiro | 192 | 187 | 160 |  |  |
| 188 | ;Unbound variable: teamname | 192 | 190 | 160 |  |  |
| 189 | Heklers @ < 16% | 192 | 191 | 160 |  |  |
| 190 | Dr0ne | 1 | 108 |  |  |  |
| 191 | 3b | 1 |  |  |  | 108 |
| 191 | CamYarra | 192 | 195 | 160 |  |  |
| 193 | Sumedh Girish | 192 | 196 | 160 |  |  |
| 194 | sanityinc | 1 | 113 |  |  |  |
| 194 | Pure Laziness (backup account) | 192 | 232 | 145 |  |  |
| 196 | OxBox | 192 | 198 | 160 |  |  |
| 197 | aaaaaaaaaa2230 | 192 | 218 | 160 |  |  |
| 197 | Xeniac | 192 | 218 | 160 |  |  |
| 199 | uneu.net | 1 | 144 |  |  |  |
| 200 | Prof Prog | 1 | 146 |  |  |  |
| 201 | tryhard | 267 | 228 | 160 |  |  |
| 202 | ishmeal | 1 | 153 |  |  |  |
| 203 | Waterloo Napoleons | 1 | 154 |  |  |  |
| 204 | jm | 1 | 155 |  |  |  |
| 205 | N?rke Nation | 192 | 232 | 160 |  |  |
| 206 | sbite0138 | 192 | 245 | 160 |  |  |
| 207 | monoid | 192 | 247 | 191 |  |  |
| 207 | Canivsar | 192 |  | 83 |  |  |
| 209 | Bue World | 1 | 167 |  |  |  |
| 210 | janiczek | 1 | 172 |  |  |  |
| 211 | gdb | 1 | 189 |  |  |  |
| 212 | gaha | 192 | 122 |  |  |  |
| 213 | theta | 192 |  | 128 |  |  |
| 214 | 7999f27ae4db | 192 | 129 |  |  |  |
| 215 | Pi | 192 | 130 |  |  |  |
| 216 | DavidB | 192 | 133 |  |  |  |
| 217 | Leg of Lambda | 1 | 198 |  |  |  |
| 217 | insert team name here | 1 | 198 |  |  |  |
| 219 | FCCPC | 192 | 138 |  |  |  |
| 220 | LoneBot | 192 | 143 |  |  |  |
| 221 | Pseudo  | 192 | 147 |  |  |  |
| 222 | almosthere | 1 | 218 |  |  |  |
| 223 | POCSlackers | 290 | 218 | 160 |  |  |
| 224 | keles | 192 | 160 |  |  |  |
| 225 | just_me | 273 | 141 |  |  |  |
| 226 | Apprentice | 192 | 169 |  |  |  |
| 227 | peterm | 192 | 171 |  |  |  |
| 228 | Timur | 192 | 175 |  |  |  |
| 229 | ai | 192 | 198 |  |  |  |
| 230 | I-M-X | 192 | 217 |  |  |  |
| 231 | Kaos | 273 | 191 |  |  |  |
| 231 | Mimir's k?lla | 273 | 191 |  |  |  |
| 233 | Kashell | 192 | 218 |  |  |  |
| 233 | Rasengan | 192 | 218 |  |  |  |
| 233 | wolfadex | 192 | 218 |  |  |  |
| 233 | Whoknows | 192 | 218 |  |  |  |
| 237 | corylopsis | 192 | 228 |  |  |  |
| 238 | CoderMal | 192 | 230 |  |  |  |
| 239 | fp[uk] | 192 | 231 |  |  |  |
| 240 | Lexi | 273 | 198 |  |  |  |
| 240 | Distracted Corvids | 273 | 198 |  |  |  |
| 242 | NasconDini | 273 | 215 |  |  |  |
| 243 | ShadySharingan | 192 | 232 |  |  |  |
| 243 | h4rr9 | 192 | 232 |  |  |  |
| 243 | SPAAACE | 192 | 232 |  |  |  |
| 246 | Codice Loco ( ?? ?? ??) | 192 | 245 |  |  |  |
| 247 | Affliction | 273 | 218 |  |  |  |
| 247 | Ground Truth | 267 | 232 |  |  |  |
| 249 | turbolent | 273 | 232 |  |  |  |
| 250 | The Higher Order Of Zeuxis | 1 |  |  |  |  |
| 250 | Docet Omnia | 1 |  |  |  |  |
| 250 | fantastic-couscous | 1 |  |  |  |  |
| 250 | h4 | 1 |  |  |  |  |
| 250 | 3GjcVykuxyD82HE | 1 |  |  |  |  |
| 250 | xiberfix | 1 |  |  |  |  |
| 250 | uta | 1 |  |  |  |  |
| 250 | Isaac Clarke | 1 |  |  |  |  |
| 250 | ? | 1 |  |  |  |  |
| 250 | Mosa Fett | 1 |  |  |  |  |
| 250 | Lambda Collective | 1 |  |  |  |  |
| 261 | treedub | 186 |  |  |  |  |
| 262 | ???? | 290 | 198 |  |  |  |
| 263 | treechicken | 290 | 216 |  |  |  |
| 264 | MangoPeeled | 290 | 232 |  |  |  |
| 264 | winterfell | 290 | 232 |  |  |  |
| 266 | Snowbot Brigade | 192 |  |  |  |  |
| 266 | cyberecho | 192 |  |  |  |  |
| 266 | Sha90w | 192 |  |  |  |  |
| 266 | eggy | 192 |  |  |  |  |
| 266 | juu_me_myself_I | 192 |  |  |  |  |
| 266 | Duck | 192 |  |  |  |  |
| 266 | quyse | 192 |  |  |  |  |
| 266 | the-sinner | 192 |  |  |  |  |
| 266 | TeamTeam | 192 |  |  |  |  |
| 266 | suicide | 192 |  |  |  |  |
| 266 | N0BML | 192 |  |  |  |  |
| 266 | ThinkWithGames | 192 |  |  |  |  |
| 266 | 4eta | 192 |  |  |  |  |
| 266 | Various slide rules | 192 |  |  |  |  |
| 266 | Freddy Pringle | 192 |  |  |  |  |
| 266 | wanui | 192 |  |  |  |  |
| 266 | Dysfunction | 192 |  |  |  |  |
| 266 | TerrorBytes | 192 |  |  |  |  |
| 284 | Hacksell | 267 |  |  |  |  |
| 284 | Keksfreunde | 267 |  |  |  |  |
| 284 | a | 267 |  |  |  |  |
| 284 | TS_TCPC | 267 |  |  |  |  |
| 288 | Play Dominion, now on Steam, Apple or Google Play | 273 |  |  |  |  |
| 288 | balonit_bros | 273 |  |  |  |  |
| 288 | speakerteeth | 273 |  |  |  |  |
| 288 | not_participating | 273 |  |  |  |  |
| 288 | mcpony | 273 |  |  |  |  |
| 288 | azak | 273 |  |  |  |  |
| 288 | Golden Middle | 273 |  |  |  |  |
| 288 | poka | 273 |  |  |  |  |
| 296 | Zarief's Team | 290 |  |  |  |  |
| 296 | Nicolas van Kempen | 290 |  |  |  |  |
| 296 | Bowlerinas | 290 |  |  |  |  |
| 296 | g7r | 290 |  |  |  |  |
| 296 | team | 290 |  |  |  |  |
| 296 | mistake | 290 |  |  |  |  |
| 296 | woo hou feng | 290 |  |  |  |  |
| 296 | dfyz | 290 |  |  |  |  |
| 296 | Flat Earth Society - Jovian Chapter | 290 |  |  |  |  |
| 296 | tsickle | 290 |  |  |  |  |
| 296 | scanhex | 290 |  |  |  |  |
| 296 | EvbCFfp1XB | 290 |  |  |  |  |
| 296 | matmis | 290 |  |  |  |  |
| 296 | TerrorBytes | 290 |  |  |  |  |
| 296 | Briareos | 290 |  |  |  |  |
| 296 | Nolan | 290 |  |  |  |  |
| 296 | radeye | 290 |  |  |  |  |
| 296 | WanderingLeaf | 290 |  |  |  |  |
| 296 | TheAndyHorses | 290 |  |  |  |  |
| 296 | nbu | 290 |  |  |  |  |
| 296 | phoebeharris | 290 |  |  |  |  |
| 296 | BurningSofaSoftware | 290 |  |  |  |  |
| 296 | weird attractor | 290 |  |  |  |  |
| 296 | LambLambda | 290 |  |  |  |  |
| 296 | 4649 | 290 |  |  |  |  |
| 296 | Triloxy | 290 |  |  |  |  |
| 296 | fish and chips | 290 |  |  |  |  |
| 296 | Isaq | 290 |  |  |  |  |
| 296 | szn | 290 |  |  |  |  |
| 296 | We have a Hulk | 290 |  |  |  |  |
| 296 | Sigmoid Freud | 290 |  |  |  |  |
| 296 | awawa | 290 |  |  |  |  |
| 296 | TurtlePU | 290 |  |  |  |  |
| 296 | sushi-gakushi | 290 |  |  |  |  |
| 296 | DEIN | 290 |  |  |  |  |
| 296 | no-team | 290 |  |  |  |  |
| 296 | Cail_Team | 290 |  |  |  |  |
| 296 | spid2007 | 290 |  |  |  |  |
| 296 | Blue Iris | 290 |  |  |  |  |
| 296 | Now Loading... | 290 |  |  |  |  |
| 296 | Stochastic Pretzels | 290 |  |  |  |  |
| 296 | bscii | 290 |  |  |  |  |
| 296 | farwah | 290 |  |  |  |  |
| 296 | quoc28 | 290 |  |  |  |  |
| 296 | gummycandy | 290 |  |  |  |  |
| 296 | lotren | 290 |  |  |  |  |
| 296 | Gobelet | 290 |  |  |  |  |
| 296 | Man with a minivan | 290 |  |  |  |  |
| 296 | Q | 290 |  |  |  |  |
| 296 | kakira | 290 |  |  |  |  |
| 296 | skullgang | 290 |  |  |  |  |
| 296 | Aqqrs | 290 |  |  |  |  |
| 296 | cleanlean | 290 |  |  |  |  |
| 296 | Scr4peR | 290 |  |  |  |  |
| 296 | Typeclass Without Laws | 290 |  |  |  |  |
| 296 | Fixed but mostly pointless | 290 |  |  |  |  |
| 296 | mmohammadi9812 | 290 |  |  |  |  |
| 296 | yosupo | 290 |  |  |  |  |
| 296 | ()-age | 290 |  |  |  |  |
| 296 | Luke & Hamish | 290 |  |  |  |  |
| 356 | The Old Man and the C |  |  |  |  |  |
| 356 | Hollow Purple |  |  |  |  |  |
| 356 | D Yang |  |  |  |  |  |
| 356 | LLAMACHAIN |  |  |  |  |  |
| 356 | null |  |  |  |  |  |
| 356 | F47 |  |  |  |  |  |
| 356 | maron8676 |  |  |  |  |  |
| 356 | Team AK |  |  |  |  |  |
| 356 | hustlers |  |  |  |  |  |
| 356 | SoloQueue |  |  |  |  |  |
| 356 | Fantastic 4 |  |  |  |  |  |
| 356 | Slasher |  |  |  |  |  |
| 356 | Dynamo |  |  |  |  |  |
| 356 | Codehunters |  |  |  |  |  |
| 356 | jonathanprogramming |  |  |  |  |  |
| 356 | DarkKnignt |  |  |  |  |  |
| 356 | plan arado |  |  |  |  |  |
| 356 | ateam |  |  |  |  |  |
| 356 | ateam |  |  |  |  |  |
| 356 | aaaa |  |  |  |  |  |
| 356 | GRARIO |  |  |  |  |  |
| 356 | Miracle |  |  |  |  |  |
| 356 | Want To Delete This Account |  |  |  |  |  |
| 356 | solo rank |  |  |  |  |  |
| 356 | ? |  |  |  |  |  |
| 356 | V |  |  |  |  |  |
| 356 | InKryptz |  |  |  |  |  |
| 356 | swayingfish |  |  |  |  |  |
| 356 | One-Pass Gang |  |  |  |  |  |
| 356 | beginner |  |  |  |  |  |
| 356 | random_team |  |  |  |  |  |
| 356 | ToiToi |  |  |  |  |  |
| 356 | Gassa |  |  |  |  |  |
| 356 | blueboar's team |  |  |  |  |  |
| 356 | Ace_yuki |  |  |  |  |  |
| 356 | AAV2024 |  |  |  |  |  |
| 356 | The Marauder |  |  |  |  |  |
| 356 | 0xValhalla |  |  |  |  |  |
| 356 | HCF |  |  |  |  |  |
| 356 | KBashist |  |  |  |  |  |
| 356 | sad |  |  |  |  |  |
| 356 | Discord doesn't work can we please use email instead kthxbye |  |  |  |  |  |
| 356 | ml-brothers |  |  |  |  |  |
| 356 | zenito9970 |  |  |  |  |  |
| 356 | not used |  |  |  |  |  |
| 356 | Binary_Three |  |  |  |  |  |
| 356 | The Demolishers |  |  |  |  |  |
| 356 | @mask |  |  |  |  |  |
| 356 | Strength |  |  |  |  |  |
| 356 | Vic |  |  |  |  |  |
| 356 | leojean890 |  |  |  |  |  |
| 356 | bark but don't bite |  |  |  |  |  |
| 356 | past_army |  |  |  |  |  |
| 356 | solo_coder |  |  |  |  |  |
| 356 | DETOX |  |  |  |  |  |
| 356 | Cail_Team |  |  |  |  |  |
| 356 | Dyalog hehe |  |  |  |  |  |
| 356 | Test |  |  |  |  |  |
| 356 | SKL |  |  |  |  |  |
| 356 | ilikerice |  |  |  |  |  |
| 356 | De Stomme van Campen |  |  |  |  |  |
| 356 | ccc |  |  |  |  |  |
| 356 | Golden Middle |  |  |  |  |  |
| 356 | wheezards |  |  |  |  |  |
| 356 | <please-delete> |  |  |  |  |  |
| 356 | Reflex12 |  |  |  |  |  |
| 356 | Pi |  |  |  |  |  |
| 356 | (mistakenly registered) |  |  |  |  |  |
| 356 | shukhrat |  |  |  |  |  |
| 356 | globalstudent |  |  |  |  |  |
| 356 | a |  |  |  |  |  |
| 356 | serious |  |  |  |  |  |
| 356 | elmurod |  |  |  |  |  |
| 356 | asldev |  |  |  |  |  |
| 356 | ut |  |  |  |  |  |
| 356 | dapps |  |  |  |  |  |
| 356 | fp[uk] |  |  |  |  |  |
| 356 | O'zim |  |  |  |  |  |
| 356 | Quarks |  |  |  |  |  |
| 356 | VL |  |  |  |  |  |
| 356 | xmtpj |  |  |  |  |  |
| 356 | Lian Yu |  |  |  |  |  |
| 356 | SomeTeam |  |  |  |  |  |
| 356 | LILik |  |  |  |  |  |
| 356 | Willie_the_Westie |  |  |  |  |  |
| 356 | nyiyui |  |  |  |  |  |
| 356 | seiyakyokai |  |  |  |  |  |
| 356 | Endoscopic |  |  |  |  |  |
| 356 | tryers |  |  |  |  |  |
| 356 | devai |  |  |  |  |  |
| 356 | ?? |  |  |  |  |  |
| 356 | max-theht-xam |  |  |  |  |  |
| 356 | Nt4fVr8KeE2na3m |  |  |  |  |  |
| 356 | p-coder |  |  |  |  |  |
| 356 | Tetromino |  |  |  |  |  |
| 356 | YbB |  |  |  |  |  |
| 356 | mont |  |  |  |  |  |
| 356 | miss |  |  |  |  |  |
| 356 | Krizai |  |  |  |  |  |
| 356 | test |  |  |  |  |  |
| 356 | PalamPa |  |  |  |  |  |
| 356 | ZeroOne |  |  |  |  |  |
| 356 | CR7 Syntax |  |  |  |  |  |
| 356 | TheBeastProgrammers |  |  |  |  |  |
| 356 | a05a309b-6f47-4a46-8c96-282c6722d17b |  |  |  |  |  |
| 356 | happy15 |  |  |  |  |  |
| 356 | Recite to Rewrite |  |  |  |  |  |
| 356 | PhdThai&Love |  |  |  |  |  |
| 356 | Ronan C |  |  |  |  |  |
| 356 | CodeKage |  |  |  |  |  |
| 356 | Maple Bacon |  |  |  |  |  |
| 356 | Researcher |  |  |  |  |  |

You scored some points for looking at the scoreboard! You can also do `get scoreboard <coursename>` to see the scoreboard for a specific course.

